Pais,cant_de_redes_diferentes
Colombia,2
Barbados,1
Kenya,2
Switzerland,4
Pakistan,1
Romania,2
South Africa,3
Singapore,2
Thailand,1
Ukraine,2
Uruguay,3
India,3
Russian Federation,2
Ireland,2
Japan,1
Poland,1
Viet Nam,2
Senegal,1
Turkiye,1
Malaysia,1
United States,7
Spain,4
Germany,2
Armenia,3
Bulgaria,2
Czechia,2
Kuwait,1
Netherlands,2
Belgium,6
China,1
Mexico,4
Sweden,3
Trinidad and Tobago,1
Algeria,3
"Egypt, Arab Rep.",3
Ethiopia,2
Morocco,2
El Salvador,3
Austria,3
West Bank and Gaza,1
Australia,2
Denmark,1
Dominican Republic,1
Paraguay,3
Bolivia,3
Honduras,1
Brazil,4
Italy,5
Saudi Arabia,3
Ecuador,3
Peru,2
Nicaragua,1
Qatar,1
Hungary,1
Panama,1
France,2
Norway,2
Costa Rica,1
United Arab Emirates,1
Indonesia,1
Chile,3
Canada,5
Angola,2
Greece,2
Serbia,2
Tunisia,4
Philippines,3
"Korea, Rep.",2
Cuba,1
Finland,2
Jamaica,2
Mozambique,1
Nigeria,2
Azerbaijan,3
Israel,2
