Pais,Sede,Red_Social,URL
Paraguay,CASUN,Instagram,@ArgentinaEnAsuncion
Brazil,CFLOR,Instagram,@argenflorianopolis
United States,CHOUS,Instagram,@ARGenHouston
United States,CLANG,Instagram,@arg_clang
United States,CMIAM,Instagram,@argenmiami
Brazil,CPABL,consuladoargentinosp@gmail.com,consuladoargentinosp@gmail.com
Italy,CROMA,Instagram,@ArgEnRoma
Italy,CROMA,Instagram,@consuladoargentinoenroma
Uruguay,CSLTO,Instagram,@consuladoargentinoensalto
Bolivia,EBOLV,Instagram,@EmbaArgBolivia
Bolivia,EBOLV,Instagram,@EmbajadaArgentinaBolivia
Bolivia,EBOLV,Instagram,@embajada_argentina_en_bolivia
Belgium,ECEUR,Youtube,https://www.youtube.com/@ARGanteUE
Belgium,ECEUR,Flickr,https://www.flickr.com/people/197084220@N02/
China,ECHIN,Instagram,@ArgentinaEnChina
Colombia,ECOLO,Instagram,@ArgColombia
Ethiopia,EETIO,Instagram,@ArEthiopia
Honduras,EHOND,Instagram,@ArgHonduras
Honduras,EHOND,Instagram,@ArgentinaEnHonduras
Indonesia,EISIA,Instagram,@argentinaindonesia
Mexico,EMEXI,Twitter,https://twitter.com/@ARGenMexico
Italy,EMFAO,Instagram,@ArgenFao
Nicaragua,ENICA,Instagram,@ArgentinaEnNicaragua
Nicaragua,ENICA,Instagram,@argennicaragua
Panama,EPNMA,Instagram,@ArgentinaEnPanama
Qatar,EQATR,Instagram,@embargenqatar
Qatar,EQATR,Instagram,@embargenqatar
Senegal,ESENE,Instagram,@ARGenSenegal
Turkiye,ETURQ,Instagram,@Argentinaenturquia/
Turkiye,ETURQ,Instagram,@embargenturquia
Turkiye,ETURQ,Instagram,@ARGenTurquia
Brazil,CALEG,Twitter,https://twitter.com/ArgPortoAlegre
Brazil,CALEG,Facebook,https://www.facebook.com/ArgentinaEnPortoAlegre/
Brazil,CALEG,Instagram,https://www.instagram.com/argenportoalegre/
Chile,CANTO,Facebook,https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/
Chile,CAREN,Facebook,https://www.facebook.com/profile.php?id=100014152878593
Spain,CBARC,Facebook,facebook.com/ArgEnBarcelona
Spain,CBARC,Twitter,twitter.com/ARGenBarcelona
Spain,CBARC,Instagram,instagram.com/argenbarcelona
Spain,CBARC,linkedin.com,linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona/mycompany/
Brazil,CBELO,Facebook,https://www.facebook.com/ArgentinaEnBeloHorizonte/
Brazil,CBELO,Twitter,https://twitter.com/consgralbelo
Brazil,CBELO,Instagram,https://www.instagram.com/consgralbelo/
Germany,CBONN,Facebook,https://www.facebook.com/ConsuladoArgentinoenBonn
Germany,CBONN,Instagram,http://www.instagram.com/consulado.argentino.bonn
Spain,CCADI,Facebook,www.facebook.com/ArgentinaEnCadiz
Paraguay,CCEST,Facebook,https://www.facebook.com/ArgEnCiudaddeleste/
Paraguay,CCEST,Instagram,https://www.instagram.com/argenciudaddeleste
United States,CCHIC,Twitter,https://twitter.com/argenchicago
United States,CCHIC,Facebook,https://www.facebook.com/ArgentinaEnChicago
United States,CCHIC,Youtube,https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured
Bolivia,CCOCH,wwww.facebook.com,wwww.facebook.com/ArgentinaEnCochabamba
Uruguay,CCOLO,Facebook,https://www.facebook.com/ArgentinaenColonia
Brazil,CCURI,Facebook,https://www.facebook.com/ArgEnCuritiba/
Brazil,CCURI,Instagram,https://instagram.com/argEncuritiba
Brazil,CCURI,Twitter,https://twitter.com/ARGenCuri
Brazil,CFDIG,Twitter,https://twitter.com/argentinaenfoz
Brazil,CFDIG,Facebook,https://www.facebook.com/ArgentinaEnFozDeIguazu
Brazil,CFDIG,Instagram,https://www.instagram.com/argentinaenfoz/
Brazil,CFLOR,Facebook,https://www.facebook.com/cflor.mrecic.gov.ar
India,CGMUM,Facebook,https://www.facebook.com/argenmumbai
India,CGMUM,Instagram,https://www.instagram.com/argenmumbai
India,CGMUM,Twitter,https://twitter.com/cgmum1
Israel,CGTEL,Facebook,https://www.facebook.com/ArgentinaEnIsrael/
United States,CHOUS,Facebook,https://www.facebook.com/ArgentinaEnHouston/
United States,CLANG,Facebook,https://www.facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel
Spain,CMADR,Facebook,https://www.facebook.com/ArgentinaEnMadridEsp/
Uruguay,CMALD,Facebook,https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal
Uruguay,CMALD,Instagram,https://www.instagram.com/consulado_argentino/
Spain,CMALL,Facebook,https://www.facebook.com/ArgentinaEnPalmaDeMallorca
Uruguay,CMDEO,Facebook,https://www.facebook.com/ArgentinaEnMontevideo/
United States,CMIAM,es-la.facebook.com,https://es-la.facebook.com/consuladoargentino.miami/
Italy,CMILA,Facebook,https://www.facebook.com/ConsuladoArgentinoenMilan
Italy,CMILA,Instagram,https://www.instagram.com/consuladoargentinoenmilan/
Italy,CMILA,Youtube,https://www.youtube.com/channel/UCZdYeN4gttYEyX15xxkUNWQ
United States,CNYOR,Facebook,https://www.facebook.com/ARGenNewYork
United States,CNYOR,Twitter,https://twitter.com/ARGenNewYork
United States,CNYOR,Instagram,https://www.instagram.com/argennewyork/
United States,CNYOR,Youtube,https://www.youtube.com/channel/UCJFygvT8lgEo1PrQqsHqMKg
Chile,CPMON,Facebook,https://www.facebook.com/ArgentinaEnPuertoMontt/
Brazil,CRECI,Facebook,https://www.facebook.com/ArgentinaEnBrasilRecife
Brazil,CRECI,Instagram,https://www.instagram.com/consuladoargentinorecife
Brazil,CSBAH,Instagram,https://www.instagram.com/argentinaensalvador
Brazil,CSBAH,Facebook,https://www.facebook.com/ArgentinaenSalvador
Brazil,CSBAH,Twitter,https://twitter.com/ArgentinaEnSSA
Bolivia,CSCRS,Facebook,www.facebook.com/ArgEnSantaCruz
Australia,CSIDN,Facebook,https://www.facebook.com/ArgentinaEnSidney/
Canada,CTORO,Facebook,https://www.facebook.com/ArgentinaEnToronto/
Canada,CTORO,Instagram,https://www.instagram.com/consuladoargtoronto/
Brazil,CURUG,Facebook,https://www.facebook.com/ArgEnUruguayana/
Brazil,CURUG,Twitter,https://twitter.com/CURUGoK
Chile,CVALP,Facebook,https://www.facebook.com/ArgentinaEnValparaiso
Spain,CVIGO,Facebook,facebook.com/ArgentinaenVigo
Spain,CVIGO,Instagram,https://www.instagram.com/argenvigo/
Bolivia,CVILL,Facebook,https://www.facebook.com/ArgEnVillazon
Germany,EALEM,Facebook,https://www.facebook.com/ArgEnAlemania/
Angola,EANGO,Facebook,https://www.facebook.com/ArgentinaEnAngola/
Angola,EANGO,Instagram,https://www.instagram.com/embargentinaenangola/
Saudi Arabia,EARAB,Facebook,https://www.facebook.com/argentinaenarabiasaudita/
Saudi Arabia,EARAB,Twitter,https://twitter.com/ensaudita
Saudi Arabia,EARAB,Instagram,https://www.instagram.com/arginsaudi/
Algeria,EARGE,Twitter,https://twitter.com/ARGenArgelia
Algeria,EARGE,Instagram,https://instagram.com/argenargelia
Algeria,EARGE,Facebook,facebook.com/ArgentinaEnArgelia
Armenia,EARME,Instagram,https://www.instagram.com/arginarmenia/
Armenia,EARME,Facebook,https://www.facebook.com/ArgentinaEnArmenia
Armenia,EARME,Twitter,https://twitter.com/ARGinArmenia
Australia,EAUST,Facebook,https://www.facebook.com/ArgentinaEnAustralia/
Australia,EAUST,Twitter,https://twitter.com/ARGinAustralia
Barbados,EBARB,Facebook,https://www.facebook.com/ArgentinaEnBarbados/
Brazil,EBRAS,Instagram,https://www.instagram.com/embaargenbrasil
Brazil,EBRAS,Twitter,https://twitter.com/ArgentinaEnBras
Brazil,EBRAS,Facebook,https://www.facebook.com/embargbrasil
Bulgaria,EBULG,Facebook,https://www.facebook.com/ArgentinaEnBulgaria/
Bulgaria,EBULG,Youtube,https://www.youtube.com/channel/UCK-uSxN84lEMqJwCviEjZow
Canada,ECANA,Facebook,https://www.facebook.com/ArgentinaInCanada
Canada,ECANA,Youtube,https://www.youtube.com/channel/UC77DGXZ2ppExRtV4WS4IV-A
Canada,ECANA,Twitter,https://twitter.com/ArginCanada
Canada,ECANA,Instagram,https://www.instagram.com/argentinaincanada/
Canada,ECANA,Linkedin,https://www.linkedin.com/company/argentinaincanada
Belgium,ECEUR,Facebook,https://www.facebook.com/ARGanteUE
Belgium,ECEUR,Linkedin,https://www.linkedin.com/company/arganteue
Belgium,ECEUR,Twitter,https://twitter.com/ARGanteUE
Czechia,ECHES,Facebook,https://www.facebook.com/ArgentinaEnRepCheca/
Czechia,ECHES,Instagram,https://www.instagram.com/argentinaenpraga
Colombia,ECOLO,Facebook,https://www.facebook.com/ArgColombia/?ref=bookmarks
"Korea, Rep.",ECORE,Facebook,https://www.facebook.com/ArgentinaEnCorea/
"Korea, Rep.",ECORE,Instagram,https://www.instagram.com/embajadaargentinaencorea1/?hl=es
Cuba,ECUBA,Facebook,https://www.facebook.com/ArgentinaEnCubaLaHabana/
Denmark,EDINA,Facebook,https://www.facebook.com/EmbajadadeArgentinaenDinamarca/
Dominican Republic,EDOMI,es-la.facebook.com,https://es-la.facebook.com/ArgentinaEnRepublicaDominicana/
United Arab Emirates,EEARB,Facebook,https://www.facebook.com/ArgentinaEnEmiratosArabesUnidos
Ecuador,EECUA,Facebook,https://www.facebook.com/Argentina-en-Ecuador-772092829594964/?ref=bookmarks
Ecuador,EECUA,Instagram,https://instagram.com/argentinaenecuador?igshid=1pzlw4ojakxjh
Ecuador,EECUA,Youtube,https://www.youtube.com/channel/UC7FnoaJNif8jQLyBb4QDKng
United States,EEEUU,Twitter,https://twitter.com/ARGinUSA
United States,EEEUU,Facebook,https://www.facebook.com/ARGinUSA/
United States,EEEUU,Instagram,https://www.instagram.com/ARGinUSA/
United States,EEEUU,Flickr,https://www.flickr.com/photos/ARGinUSA/
United States,EEEUU,Youtube,https://www.youtube.com/ARGinUSA
