Pais,Id_pais,PBI,Region
Aruba,ABW,33300.8388187011,Latin America & Caribbean
Angola,AGO,3000.44423053173,Sub-Saharan Africa
Albania,ALB,6810.11404104233,Europe & Central Asia
Andorra,AND,41992.7727779758,Europe & Central Asia
United Arab Emirates,ARE,53707.9800809111,Middle East & North Africa
Argentina,ARG,13650.6046294524,Latin America & Caribbean
Armenia,ARM,7018.05150434798,Europe & Central Asia
American Samoa,ASM,19673.3901023197,East Asia & Pacific
Antigua and Barbuda,ATG,19919.7266867883,Latin America & Caribbean
Australia,AUS,65099.8459118981,East Asia & Pacific
Austria,AUT,52084.6811953372,Europe & Central Asia
Azerbaijan,AZE,7762.0738285884,Europe & Central Asia
Burundi,BDI,259.025031363515,Sub-Saharan Africa
Belgium,BEL,49926.8254295305,Europe & Central Asia
Benin,BEN,1302.85103626824,Sub-Saharan Africa
Burkina Faso,BFA,830.03715033429,Sub-Saharan Africa
Bangladesh,BGD,2688.30550090738,South Asia
Bulgaria,BGR,13974.4492487792,Europe & Central Asia
Bahrain,BHR,30146.925026365,Middle East & North Africa
"Bahamas, The",BHS,31458.300811739,Latin America & Caribbean
Bosnia and Herzegovina,BIH,7568.79847995923,Europe & Central Asia
Belarus,BLR,7888.26371063212,Europe & Central Asia
Belize,BLZ,6984.21695968163,Latin America & Caribbean
Bermuda,BMU,118774.790656677,North America
Bolivia,BOL,3600.12163486427,Latin America & Caribbean
Brazil,BRA,8917.67491057495,Latin America & Caribbean
Barbados,BRB,20238.7842420154,Latin America & Caribbean
Brunei Darussalam,BRN,37152.4769749763,East Asia & Pacific
Botswana,BWA,7738.87880407803,Sub-Saharan Africa
Central African Republic,CAF,427.058096191269,Sub-Saharan Africa
Canada,CAN,54917.6625226262,North America
Switzerland,CHE,93259.9057183024,Europe & Central Asia
Chile,CHL,15355.4797401048,Latin America & Caribbean
China,CHN,12720.2163182363,East Asia & Pacific
Cote d'Ivoire,CIV,2486.41219394248,Sub-Saharan Africa
Cameroon,CMR,1563.48894034459,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,653.656223069354,Sub-Saharan Africa
"Congo, Rep.",COG,2649.22502230642,Sub-Saharan Africa
Colombia,COL,6624.16539269075,Latin America & Caribbean
Comoros,COM,1484.89246472542,Sub-Saharan Africa
Cabo Verde,CPV,3754.30479371603,Sub-Saharan Africa
Costa Rica,CRI,13365.3563992692,Latin America & Caribbean
Cuba,CUB,56495.8534866201,Latin America & Caribbean
Curacao,CUW,20501.7522782219,Latin America & Caribbean
Cayman Islands,CYM,99624.8854439134,Latin America & Caribbean
Cyprus,CYP,32048.240234375,Europe & Central Asia
Czechia,CZE,27223.0451937676,Europe & Central Asia
Germany,DEU,48717.9911402128,Europe & Central Asia
Djibouti,DJI,3136.11276804873,Middle East & North Africa
Dominica,DMA,8351.19321309293,Latin America & Caribbean
Denmark,DNK,67790.0539923276,Europe & Central Asia
Dominican Republic,DOM,10111.2457110261,Latin America & Caribbean
Algeria,DZA,4342.63796796522,Middle East & North Africa
Ecuador,ECU,6391.28248430643,Latin America & Caribbean
"Egypt, Arab Rep.",EGY,4295.40749561014,Middle East & North Africa
Spain,ESP,29674.5442864413,Europe & Central Asia
Estonia,EST,28247.095992497,Europe & Central Asia
Ethiopia,ETH,1027.58591095964,Sub-Saharan Africa
Finland,FIN,50916.2804653208,Europe & Central Asia
Fiji,FJI,5356.16439621614,East Asia & Pacific
France,FRA,40886.2532680273,Europe & Central Asia
Faroe Islands,FRO,66979.2773224808,Europe & Central Asia
"Micronesia, Fed. Sts.",FSM,3713.95536246102,East Asia & Pacific
Gabon,GAB,8820.34733682316,Sub-Saharan Africa
United Kingdom,GBR,46125.2557513568,Europe & Central Asia
Georgia,GEO,6674.95695994589,Europe & Central Asia
Ghana,GHA,2203.55893518303,Sub-Saharan Africa
Guinea,GIN,1515.16794777584,Sub-Saharan Africa
"Gambia, The",GMB,808.278281490135,Sub-Saharan Africa
Guinea-Bissau,GNB,775.828965745365,Sub-Saharan Africa
